-- CONFIGURATIONS
--- data_type: 1 0
--- train/test: 2767/1188
--- max no. reactants: 6
--- max no. products: 1
--- use_saved: False
--- model_path: ./model/finetuned/model_1_0_2767_27407.pt
variable project_node_feats.0.weight loaded!
variable project_node_feats.0.bias loaded!
variable project_edge_feats.0.weight loaded!
variable project_edge_feats.0.bias loaded!
variable gnn_layers.0.eps loaded!
variable gnn_layers.0.apply_func.0.weight loaded!
variable gnn_layers.0.apply_func.0.bias loaded!
variable gnn_layers.0.apply_func.2.weight loaded!
variable gnn_layers.0.apply_func.2.bias loaded!
variable gnn_layers.1.eps loaded!
variable gnn_layers.1.apply_func.0.weight loaded!
variable gnn_layers.1.apply_func.0.bias loaded!
variable gnn_layers.1.apply_func.2.weight loaded!
variable gnn_layers.1.apply_func.2.bias loaded!
variable gnn_layers.2.eps loaded!
variable gnn_layers.2.apply_func.0.weight loaded!
variable gnn_layers.2.apply_func.0.bias loaded!
variable gnn_layers.2.apply_func.2.weight loaded!
variable gnn_layers.2.apply_func.2.bias loaded!
variable sparsify.0.weight loaded!
variable sparsify.0.bias loaded!
variable sparsify.1.weight loaded!
Successfully loaded pretrained model!
-- TRAINING
--- training epoch 9, lr 0.000500, processed 2767/2767, loss 0.207, time elapsed(min) 0.11
--- training epoch 19, lr 0.000500, processed 2767/2767, loss 0.065, time elapsed(min) 0.11
--- training epoch 29, lr 0.000500, processed 2767/2767, loss -0.006, time elapsed(min) 0.11
--- training epoch 39, lr 0.000500, processed 2767/2767, loss -0.045, time elapsed(min) 0.11
--- training epoch 49, lr 0.000500, processed 2767/2767, loss -0.108, time elapsed(min) 0.11
--- training epoch 59, lr 0.000500, processed 2767/2767, loss -0.126, time elapsed(min) 0.12
--- training epoch 69, lr 0.000500, processed 2767/2767, loss -0.180, time elapsed(min) 0.11
--- training epoch 79, lr 0.000500, processed 2767/2767, loss -0.209, time elapsed(min) 0.11
--- training epoch 89, lr 0.000500, processed 2767/2767, loss -0.221, time elapsed(min) 0.11
--- training epoch 99, lr 0.000500, processed 2767/2767, loss -0.243, time elapsed(min) 0.11
--- training epoch 109, lr 0.000500, processed 2767/2767, loss -0.267, time elapsed(min) 0.11
--- training epoch 119, lr 0.000500, processed 2767/2767, loss -0.268, time elapsed(min) 0.11
--- training epoch 129, lr 0.000500, processed 2767/2767, loss -0.292, time elapsed(min) 0.11
--- training epoch 139, lr 0.000500, processed 2767/2767, loss -0.312, time elapsed(min) 0.11
--- training epoch 149, lr 0.000500, processed 2767/2767, loss -0.316, time elapsed(min) 0.12
--- training epoch 159, lr 0.000500, processed 2767/2767, loss -0.328, time elapsed(min) 0.11
--- training epoch 169, lr 0.000500, processed 2767/2767, loss -0.332, time elapsed(min) 0.11
--- training epoch 179, lr 0.000500, processed 2767/2767, loss -0.350, time elapsed(min) 0.11
--- training epoch 189, lr 0.000500, processed 2767/2767, loss -0.344, time elapsed(min) 0.11
--- training epoch 199, lr 0.000500, processed 2767/2767, loss -0.349, time elapsed(min) 0.11
--- training epoch 209, lr 0.000500, processed 2767/2767, loss -0.353, time elapsed(min) 0.11
--- training epoch 219, lr 0.000500, processed 2767/2767, loss -0.362, time elapsed(min) 0.11
--- training epoch 229, lr 0.000500, processed 2767/2767, loss -0.379, time elapsed(min) 0.11
--- training epoch 239, lr 0.000500, processed 2767/2767, loss -0.372, time elapsed(min) 0.11
--- training epoch 249, lr 0.000500, processed 2767/2767, loss -0.370, time elapsed(min) 0.11
--- training epoch 259, lr 0.000500, processed 2767/2767, loss -0.381, time elapsed(min) 0.12
--- training epoch 269, lr 0.000500, processed 2767/2767, loss -0.394, time elapsed(min) 0.11
--- training epoch 279, lr 0.000500, processed 2767/2767, loss -0.382, time elapsed(min) 0.12
--- training epoch 289, lr 0.000500, processed 2767/2767, loss -0.398, time elapsed(min) 0.11
--- training epoch 299, lr 0.000500, processed 2767/2767, loss -0.394, time elapsed(min) 0.11
--- training epoch 309, lr 0.000500, processed 2767/2767, loss -0.398, time elapsed(min) 0.11
--- training epoch 319, lr 0.000500, processed 2767/2767, loss -0.395, time elapsed(min) 0.11
--- training epoch 329, lr 0.000500, processed 2767/2767, loss -0.404, time elapsed(min) 0.12
--- training epoch 339, lr 0.000500, processed 2767/2767, loss -0.420, time elapsed(min) 0.11
--- training epoch 349, lr 0.000500, processed 2767/2767, loss -0.403, time elapsed(min) 0.12
--- training epoch 359, lr 0.000500, processed 2767/2767, loss -0.424, time elapsed(min) 0.11
--- training epoch 369, lr 0.000500, processed 2767/2767, loss -0.420, time elapsed(min) 0.11
--- training epoch 379, lr 0.000500, processed 2767/2767, loss -0.417, time elapsed(min) 0.11
