-- CONFIGURATIONS
--- data_type: 2 0
--- train/test: 4032/1728
--- max no. reactants: 14
--- max no. products: 1
--- use_saved: False
--- model_path: ./model/finetuned/model_2_0_4032_27407.pt
variable project_node_feats.0.weight loaded!
variable project_node_feats.0.bias loaded!
variable project_edge_feats.0.weight loaded!
variable project_edge_feats.0.bias loaded!
variable gnn_layers.0.eps loaded!
variable gnn_layers.0.apply_func.0.weight loaded!
variable gnn_layers.0.apply_func.0.bias loaded!
variable gnn_layers.0.apply_func.2.weight loaded!
variable gnn_layers.0.apply_func.2.bias loaded!
variable gnn_layers.1.eps loaded!
variable gnn_layers.1.apply_func.0.weight loaded!
variable gnn_layers.1.apply_func.0.bias loaded!
variable gnn_layers.1.apply_func.2.weight loaded!
variable gnn_layers.1.apply_func.2.bias loaded!
variable gnn_layers.2.eps loaded!
variable gnn_layers.2.apply_func.0.weight loaded!
variable gnn_layers.2.apply_func.0.bias loaded!
variable gnn_layers.2.apply_func.2.weight loaded!
variable gnn_layers.2.apply_func.2.bias loaded!
variable sparsify.0.weight loaded!
variable sparsify.0.bias loaded!
variable sparsify.1.weight loaded!
Successfully loaded pretrained model!
-- TRAINING
--- training epoch 9, lr 0.000500, processed 4032/4032, loss 0.456, time elapsed(min) 0.31
--- training epoch 19, lr 0.000500, processed 4032/4032, loss 0.323, time elapsed(min) 0.32
--- training epoch 29, lr 0.000500, processed 4032/4032, loss 0.219, time elapsed(min) 0.31
--- training epoch 39, lr 0.000500, processed 4032/4032, loss 0.151, time elapsed(min) 0.29
--- training epoch 49, lr 0.000500, processed 4032/4032, loss 0.086, time elapsed(min) 0.30
--- training epoch 59, lr 0.000500, processed 4032/4032, loss 0.056, time elapsed(min) 0.30
--- training epoch 69, lr 0.000500, processed 4032/4032, loss 0.025, time elapsed(min) 0.31
--- training epoch 79, lr 0.000500, processed 4032/4032, loss -0.019, time elapsed(min) 0.30
--- training epoch 89, lr 0.000500, processed 4032/4032, loss -0.047, time elapsed(min) 0.31
--- training epoch 99, lr 0.000500, processed 4032/4032, loss -0.075, time elapsed(min) 0.32
--- training epoch 109, lr 0.000500, processed 4032/4032, loss -0.106, time elapsed(min) 0.30
--- training epoch 119, lr 0.000500, processed 4032/4032, loss -0.126, time elapsed(min) 0.32
--- training epoch 129, lr 0.000500, processed 4032/4032, loss -0.145, time elapsed(min) 0.31
--- training epoch 139, lr 0.000500, processed 4032/4032, loss -0.158, time elapsed(min) 0.30
--- training epoch 149, lr 0.000500, processed 4032/4032, loss -0.186, time elapsed(min) 0.30
--- training epoch 159, lr 0.000500, processed 4032/4032, loss -0.191, time elapsed(min) 0.30
--- training epoch 169, lr 0.000500, processed 4032/4032, loss -0.218, time elapsed(min) 0.32
--- training epoch 179, lr 0.000500, processed 4032/4032, loss -0.232, time elapsed(min) 0.31
--- training epoch 189, lr 0.000500, processed 4032/4032, loss -0.228, time elapsed(min) 0.31
--- training epoch 199, lr 0.000500, processed 4032/4032, loss -0.258, time elapsed(min) 0.31
--- training epoch 209, lr 0.000500, processed 4032/4032, loss -0.262, time elapsed(min) 0.31
--- training epoch 219, lr 0.000500, processed 4032/4032, loss -0.280, time elapsed(min) 0.30
--- training epoch 229, lr 0.000500, processed 4032/4032, loss -0.286, time elapsed(min) 0.30
--- training epoch 239, lr 0.000500, processed 4032/4032, loss -0.281, time elapsed(min) 0.31
--- training epoch 249, lr 0.000500, processed 4032/4032, loss -0.298, time elapsed(min) 0.30
--- training epoch 259, lr 0.000500, processed 4032/4032, loss -0.306, time elapsed(min) 0.30
--- training epoch 269, lr 0.000500, processed 4032/4032, loss -0.311, time elapsed(min) 0.31
--- training epoch 279, lr 0.000500, processed 4032/4032, loss -0.318, time elapsed(min) 0.30
--- training epoch 289, lr 0.000500, processed 4032/4032, loss -0.318, time elapsed(min) 0.30
--- training epoch 299, lr 0.000500, processed 4032/4032, loss -0.316, time elapsed(min) 0.31
--- training epoch 309, lr 0.000500, processed 4032/4032, loss -0.330, time elapsed(min) 0.31
--- training epoch 319, lr 0.000500, processed 4032/4032, loss -0.337, time elapsed(min) 0.31
--- training epoch 329, lr 0.000500, processed 4032/4032, loss -0.343, time elapsed(min) 0.31
--- training epoch 339, lr 0.000500, processed 4032/4032, loss -0.338, time elapsed(min) 0.30
--- training epoch 349, lr 0.000500, processed 4032/4032, loss -0.342, time elapsed(min) 0.31
--- training epoch 359, lr 0.000500, processed 4032/4032, loss -0.354, time elapsed(min) 0.30
--- training epoch 369, lr 0.000500, processed 4032/4032, loss -0.357, time elapsed(min) 0.31
--- training epoch 379, lr 0.000500, processed 4032/4032, loss -0.369, time elapsed(min) 0.31
--- training epoch 389, lr 0.000500, processed 4032/4032, loss -0.360, time elapsed(min) 0.30
--- training epoch 399, lr 0.000500, processed 4032/4032, loss -0.367, time elapsed(min) 0.31
--- training epoch 409, lr 0.000050, processed 4032/4032, loss -0.414, time elapsed(min) 0.30
--- training epoch 419, lr 0.000050, processed 4032/4032, loss -0.423, time elapsed(min) 0.30
--- training epoch 429, lr 0.000050, processed 4032/4032, loss -0.421, time elapsed(min) 0.31
--- training epoch 439, lr 0.000050, processed 4032/4032, loss -0.427, time elapsed(min) 0.29
--- training epoch 449, lr 0.000050, processed 4032/4032, loss -0.426, time elapsed(min) 0.31
--- training epoch 459, lr 0.000005, processed 4032/4032, loss -0.430, time elapsed(min) 0.31
--- training epoch 469, lr 0.000005, processed 4032/4032, loss -0.435, time elapsed(min) 0.31
--- training epoch 479, lr 0.000005, processed 4032/4032, loss -0.432, time elapsed(min) 0.31
--- training epoch 489, lr 0.000005, processed 4032/4032, loss -0.433, time elapsed(min) 0.31
--- training epoch 499, lr 0.000005, processed 4032/4032, loss -0.428, time elapsed(min) 0.32
training terminated at epoch 499
-- RESULT
--- test size: 1728
--- MAE: 6.191, RMSE: 9.377, R2: 0.886, Spearman: 0.469
