-- CONFIGURATIONS
--- data_type: 2 0
--- train/test: 4032/1728
--- max no. reactants: 14
--- max no. products: 1
--- use_saved: False
--- model_path: ./model/finetuned/model_2_0_4032_27407.pt
variable project_node_feats.0.weight loaded!
variable project_node_feats.0.bias loaded!
variable project_edge_feats.0.weight loaded!
variable project_edge_feats.0.bias loaded!
variable gnn_layers.0.eps loaded!
variable gnn_layers.0.apply_func.0.weight loaded!
variable gnn_layers.0.apply_func.0.bias loaded!
variable gnn_layers.0.apply_func.2.weight loaded!
variable gnn_layers.0.apply_func.2.bias loaded!
variable gnn_layers.1.eps loaded!
variable gnn_layers.1.apply_func.0.weight loaded!
variable gnn_layers.1.apply_func.0.bias loaded!
variable gnn_layers.1.apply_func.2.weight loaded!
variable gnn_layers.1.apply_func.2.bias loaded!
variable gnn_layers.2.eps loaded!
variable gnn_layers.2.apply_func.0.weight loaded!
variable gnn_layers.2.apply_func.0.bias loaded!
variable gnn_layers.2.apply_func.2.weight loaded!
variable gnn_layers.2.apply_func.2.bias loaded!
variable sparsify.0.weight loaded!
variable sparsify.0.bias loaded!
variable sparsify.1.weight loaded!
Successfully loaded pretrained model!
-- TRAINING
--- training epoch 9, lr 0.000500, processed 4032/4032, loss 0.451, time elapsed(min) 0.30
--- training epoch 19, lr 0.000500, processed 4032/4032, loss 0.313, time elapsed(min) 0.29
--- training epoch 29, lr 0.000500, processed 4032/4032, loss 0.207, time elapsed(min) 0.30
--- training epoch 39, lr 0.000500, processed 4032/4032, loss 0.170, time elapsed(min) 0.29
--- training epoch 49, lr 0.000500, processed 4032/4032, loss 0.095, time elapsed(min) 0.29
--- training epoch 59, lr 0.000500, processed 4032/4032, loss 0.047, time elapsed(min) 0.30
--- training epoch 69, lr 0.000500, processed 4032/4032, loss 0.020, time elapsed(min) 0.29
--- training epoch 79, lr 0.000500, processed 4032/4032, loss -0.017, time elapsed(min) 0.29
--- training epoch 89, lr 0.000500, processed 4032/4032, loss -0.042, time elapsed(min) 0.29
--- training epoch 99, lr 0.000500, processed 4032/4032, loss -0.064, time elapsed(min) 0.29
--- training epoch 109, lr 0.000500, processed 4032/4032, loss -0.086, time elapsed(min) 0.30
--- training epoch 119, lr 0.000500, processed 4032/4032, loss -0.107, time elapsed(min) 0.30
--- training epoch 129, lr 0.000500, processed 4032/4032, loss -0.130, time elapsed(min) 0.30
--- training epoch 139, lr 0.000500, processed 4032/4032, loss -0.149, time elapsed(min) 0.30
--- training epoch 149, lr 0.000500, processed 4032/4032, loss -0.166, time elapsed(min) 0.30
--- training epoch 159, lr 0.000500, processed 4032/4032, loss -0.197, time elapsed(min) 0.29
--- training epoch 169, lr 0.000500, processed 4032/4032, loss -0.201, time elapsed(min) 0.29
--- training epoch 179, lr 0.000500, processed 4032/4032, loss -0.221, time elapsed(min) 0.29
--- training epoch 189, lr 0.000500, processed 4032/4032, loss -0.236, time elapsed(min) 0.29
--- training epoch 199, lr 0.000500, processed 4032/4032, loss -0.240, time elapsed(min) 0.29
--- training epoch 209, lr 0.000500, processed 4032/4032, loss -0.255, time elapsed(min) 0.30
--- training epoch 219, lr 0.000500, processed 4032/4032, loss -0.265, time elapsed(min) 0.29
