-- CONFIGURATIONS
--- data_type: 2 0
--- train/test: 4032/1728
--- max no. reactants: 14
--- max no. products: 1
--- use_saved: False
--- model_path: ./model/finetuned/model_2_0_4032_27407.pt
variable project_node_feats.0.weight loaded!
variable project_node_feats.0.bias loaded!
variable project_edge_feats.0.weight loaded!
variable project_edge_feats.0.bias loaded!
variable gnn_layers.0.eps loaded!
variable gnn_layers.0.apply_func.0.weight loaded!
variable gnn_layers.0.apply_func.0.bias loaded!
variable gnn_layers.0.apply_func.2.weight loaded!
variable gnn_layers.0.apply_func.2.bias loaded!
variable gnn_layers.1.eps loaded!
variable gnn_layers.1.apply_func.0.weight loaded!
variable gnn_layers.1.apply_func.0.bias loaded!
variable gnn_layers.1.apply_func.2.weight loaded!
variable gnn_layers.1.apply_func.2.bias loaded!
variable gnn_layers.2.eps loaded!
variable gnn_layers.2.apply_func.0.weight loaded!
variable gnn_layers.2.apply_func.0.bias loaded!
variable gnn_layers.2.apply_func.2.weight loaded!
variable gnn_layers.2.apply_func.2.bias loaded!
variable sparsify.0.weight loaded!
variable sparsify.0.bias loaded!
variable sparsify.1.weight loaded!
Successfully loaded pretrained model!
-- TRAINING
--- training epoch 9, lr 0.000500, processed 4032/4032, loss 0.381, time elapsed(min) 0.30
--- training epoch 19, lr 0.000500, processed 4032/4032, loss 0.206, time elapsed(min) 0.30
--- training epoch 29, lr 0.000500, processed 4032/4032, loss 0.117, time elapsed(min) 0.30
--- training epoch 39, lr 0.000500, processed 4032/4032, loss 0.052, time elapsed(min) 0.30
--- training epoch 49, lr 0.000500, processed 4032/4032, loss 0.021, time elapsed(min) 0.31
--- training epoch 59, lr 0.000500, processed 4032/4032, loss -0.022, time elapsed(min) 0.30
--- training epoch 69, lr 0.000500, processed 4032/4032, loss -0.055, time elapsed(min) 0.30
--- training epoch 79, lr 0.000500, processed 4032/4032, loss -0.096, time elapsed(min) 0.30
--- training epoch 89, lr 0.000500, processed 4032/4032, loss -0.129, time elapsed(min) 0.30
--- training epoch 99, lr 0.000500, processed 4032/4032, loss -0.149, time elapsed(min) 0.30
--- training epoch 109, lr 0.000500, processed 4032/4032, loss -0.178, time elapsed(min) 0.30
--- training epoch 119, lr 0.000500, processed 4032/4032, loss -0.199, time elapsed(min) 0.30
--- training epoch 129, lr 0.000500, processed 4032/4032, loss -0.214, time elapsed(min) 0.30
--- training epoch 139, lr 0.000500, processed 4032/4032, loss -0.220, time elapsed(min) 0.30
--- training epoch 149, lr 0.000500, processed 4032/4032, loss -0.237, time elapsed(min) 0.30
--- training epoch 159, lr 0.000500, processed 4032/4032, loss -0.260, time elapsed(min) 0.30
--- training epoch 169, lr 0.000500, processed 4032/4032, loss -0.262, time elapsed(min) 0.30
--- training epoch 179, lr 0.000500, processed 4032/4032, loss -0.274, time elapsed(min) 0.30
--- training epoch 189, lr 0.000500, processed 4032/4032, loss -0.283, time elapsed(min) 0.30
--- training epoch 199, lr 0.000500, processed 4032/4032, loss -0.297, time elapsed(min) 0.31
--- training epoch 209, lr 0.000500, processed 4032/4032, loss -0.289, time elapsed(min) 0.30
--- training epoch 219, lr 0.000500, processed 4032/4032, loss -0.305, time elapsed(min) 0.30
--- training epoch 229, lr 0.000500, processed 4032/4032, loss -0.315, time elapsed(min) 0.30
--- training epoch 239, lr 0.000500, processed 4032/4032, loss -0.320, time elapsed(min) 0.30
--- training epoch 249, lr 0.000500, processed 4032/4032, loss -0.329, time elapsed(min) 0.30
--- training epoch 259, lr 0.000500, processed 4032/4032, loss -0.319, time elapsed(min) 0.30
--- training epoch 269, lr 0.000500, processed 4032/4032, loss -0.338, time elapsed(min) 0.30
--- training epoch 279, lr 0.000500, processed 4032/4032, loss -0.329, time elapsed(min) 0.30
--- training epoch 289, lr 0.000500, processed 4032/4032, loss -0.341, time elapsed(min) 0.30
--- training epoch 299, lr 0.000500, processed 4032/4032, loss -0.342, time elapsed(min) 0.31
--- training epoch 309, lr 0.000500, processed 4032/4032, loss -0.350, time elapsed(min) 0.30
--- training epoch 319, lr 0.000500, processed 4032/4032, loss -0.363, time elapsed(min) 0.30
--- training epoch 329, lr 0.000500, processed 4032/4032, loss -0.363, time elapsed(min) 0.30
--- training epoch 339, lr 0.000500, processed 4032/4032, loss -0.361, time elapsed(min) 0.30
--- training epoch 349, lr 0.000500, processed 4032/4032, loss -0.359, time elapsed(min) 0.31
--- training epoch 359, lr 0.000500, processed 4032/4032, loss -0.366, time elapsed(min) 0.30
--- training epoch 369, lr 0.000500, processed 4032/4032, loss -0.378, time elapsed(min) 0.30
--- training epoch 379, lr 0.000500, processed 4032/4032, loss -0.372, time elapsed(min) 0.30
--- training epoch 389, lr 0.000500, processed 4032/4032, loss -0.375, time elapsed(min) 0.30
--- training epoch 399, lr 0.000500, processed 4032/4032, loss -0.377, time elapsed(min) 0.31
--- training epoch 409, lr 0.000050, processed 4032/4032, loss -0.423, time elapsed(min) 0.30
--- training epoch 419, lr 0.000050, processed 4032/4032, loss -0.431, time elapsed(min) 0.30
--- training epoch 429, lr 0.000050, processed 4032/4032, loss -0.441, time elapsed(min) 0.30
--- training epoch 439, lr 0.000050, processed 4032/4032, loss -0.438, time elapsed(min) 0.30
--- training epoch 449, lr 0.000050, processed 4032/4032, loss -0.439, time elapsed(min) 0.30
